source_id,phot_g_mean_mag,x  (pc),y (pc),z (pc),dx/dt (pc/1000 years),dy/dt (pc/1000 years),dz/dy (pc/1000 years)
2878315283121020,10.37801583,196.6981718,230.599465,22.72468508,0.016454618,0.06733355,-0.002720145
2888932442511740,11.25012707,384.3119855,440.7237866,41.59481191,0.134941893,0.1377756,-0.053039812
2891749941058560,9.655322608,73.31223564,83.9837763,7.881636615,-0.084574433,-0.064687912,0.007459704
2892815092946940,10.28006728,339.5955047,388.1671981,36.80120908,-0.151173992,-0.129694734,-0.016878216
2914152490467580,12.43810791,504.8635215,580.0468235,57.88418617,-0.121219235,0.114596859,-0.134695762
2917004348752380,8.803054714,102.3676025,116.6542262,11.67006049,-0.106112359,-0.117329233,-0.015719314
2922501906892410,10.44058727,454.7101027,528.7564666,51.98731209,0.137202324,0.130016038,-0.003029634
2923704497733500,9.425749948,142.2353892,165.1115541,16.46324562,0.010506086,0.050460201,0.007268973
2931126201217020,10.95170375,399.4803037,465.5821171,47.84265871,-0.075005409,-0.052017108,-0.06036457
2939681776071550,10.38220535,204.0342424,235.1915312,24.13092528,0.019858537,0.024352025,-0.040434752
2954387743835130,11.50641191,277.9035898,321.6680221,34.73617362,0.012042104,0.035307134,0.009204992
2965417220136190,11.50886475,106.8793987,127.6909269,12.76798923,-0.083142865,-0.099354793,-0.033157684
2966825969408640,12.04959117,290.9320882,348.666949,35.26441551,-0.005469645,0.01685927,-0.013151168
2973972794986110,12.32543445,281.1773183,332.2617347,33.58589415,-0.012794055,-0.015104287,0.00107669
2976824653268990,12.00446711,378.6814319,448.1508339,46.12839647,-0.059659772,-0.043563862,0.000932678
2981738095984250,10.085139,140.5222765,165.9692517,17.5155808,-0.046157657,-0.074128729,-0.054055938
2991874218678520,11.07580529,175.7430626,211.1310015,21.87320205,-0.167652367,-0.101061251,-0.002400296
2999467720989180,11.50283185,1077.614357,1305.119353,137.3655132,0.048103322,0.094336026,-0.048383114
3010600276218360,12.19702817,417.8885553,501.6732855,54.04592369,-0.035165607,-0.012872368,-0.018779612
3022591824904830,10.0697691,419.1499736,502.2806134,56.20690842,-0.047674628,0.058520984,-0.02815848
3024447250785020,10.60799797,570.2165298,687.8661129,78.3434293,0.011416935,0.008920008,-0.029363207
3040768126227320,9.982868749,310.6869775,365.6865377,40.32002955,0.124111582,0.143959996,0.000237839
3045063093389950,9.561395092,406.1091223,472.953527,51.63022336,-0.088437793,-0.080204262,-0.030629175
3047743152981120,11.70562872,248.0839838,290.3998473,32.33300813,-0.004747283,-0.011472989,-0.019063859
3059940860100730,7.941015886,91.03627864,106.6908959,12.19484353,-0.096564392,-0.131456536,-0.02570805
3061590127949050,11.20288073,649.5956244,773.1942637,85.22140606,0.100400584,0.096079569,-0.014003959
3061658847425660,10.62644483,225.8726351,268.7573446,29.72190587,-0.038310458,-0.013595127,-0.002181382
3075368382768250,12.09273882,154.331938,183.7883524,21.27060394,-0.029473024,-0.038254873,0.005518351
3082927525208060,12.67632112,983.069698,1165.088933,137.1843364,0.037713881,-0.020883283,-0.011024237
3089318436543480,9.883906844,148.069779,176.1048185,20.94975862,-0.101837174,-0.097691411,-0.009486541
3096396542797690,11.71001536,207.5970045,235.1230946,23.14144845,-0.022575893,0.025100073,0.001767944
3129966006905720,11.68827318,1109.898061,1257.654356,137.9370691,0.097475122,0.121361771,-0.035644126
3142747829576700,10.35218937,225.4294469,260.223392,28.57288962,-0.034620738,-0.036451257,0.005722036
3142988347744000,12.53822141,388.751663,450.2590056,49.56175044,-0.096513719,-0.109635107,-0.030843457
3145737126813560,10.95587815,120.8485857,138.6523444,15.32260373,0.052986445,0.070944807,-0.052729057
3152471635532670,10.76996156,208.9908431,238.4656434,26.49678247,-0.05164595,-0.0633155,0.013658559
3158484589744120,10.56089852,481.5510217,552.6917363,62.23231523,0.015942919,0.041887449,0.001500146
3161886203838970,11.33335941,209.6537538,240.9850274,27.80283065,-0.102246933,-0.110854867,-0.020536286
3166181171149690,11.22414761,258.3746843,296.1049038,34.63440763,0.00320782,0.058143784,-0.00815623
3168311475546110,9.914980982,117.9366771,131.6976168,14.13497291,-0.028274815,0.006771095,-0.040115733
3170716657025150,11.92760286,398.5875517,446.3198293,48.75406691,0.018205349,0.0571029,-0.026398265
3177519885220860,9.502699356,99.24275284,111.4826964,12.43544784,-0.085805122,-0.080960243,-0.020527911
3181780492777980,10.67486275,535.9350613,599.6888087,67.81059819,-0.092892768,-0.121350721,-0.021638721
3182227169376640,8.968732005,536.0920877,602.9992283,68.05379034,0.01177804,-0.005666459,-0.010943162
3203083530145660,9.989220146,226.2130272,255.5628392,28.98528325,0.05979303,0.060393889,-0.014534698
3203255329257340,11.58102003,306.5435739,345.8638173,39.36426103,0.062804382,-0.016310193,-0.051908882
3205626150782330,10.3892067,275.8522762,312.9052288,36.06002998,-0.146210429,-0.121737471,-0.05228966
3214903280154880,10.26649338,1007.258918,1149.439393,137.241421,0.039587677,0.073890257,-0.026058913
3230296443356280,11.30100109,184.4050005,208.4616752,25.37552202,-0.108684376,-0.140724832,-0.042043424
3230674400478840,11.68093679,160.0561241,181.4930778,22.02320339,-0.017673801,0.014818054,-0.037580902
3231533393937790,11.27288469,524.3498105,593.6162904,72.15724136,0.068704723,0.082833229,0.006996388
3243834179846910,11.14042402,153.0761582,177.3445914,20.30474919,-0.078480136,-0.064369288,-0.064027159
3245105490185210,9.12623505,59.49476697,68.90205199,7.993787773,0.051518019,0.076308197,-0.111845675
3253076949484030,9.771467474,165.5387811,193.6235612,22.95489545,0.049794015,0.053490223,-0.006546033
3259845817944060,11.53407814,145.6088712,167.3558592,19.71394054,-0.080873268,-0.045861847,0.012194684
3273727152242560,12.21885812,358.6964232,420.0797077,50.01477031,-0.128632333,-0.148450214,-0.059090977
3281045776913280,11.94420529,238.0504272,281.0756839,33.88740946,0.011107229,-0.00654042,-0.011814564
3284756628655230,10.60355232,99.27234721,117.4339789,14.57994684,-0.080188141,-0.037983054,-0.020680896
3286027938975740,10.71879385,80.96953981,95.53805822,11.77230682,0.090159688,0.139351958,-0.026558294
3293587081013120,11.14582009,115.6966075,135.377606,16.78397972,-0.117056279,-0.084603856,-0.011121299
3296473299035640,11.02592578,190.338275,222.1931929,27.67158009,-0.088978853,-0.104676458,-0.038092246
3334681328099450,10.28939517,182.7304891,209.4850323,26.58399045,0.06488977,0.055569152,-0.020405706
3349421655857400,11.12510139,146.0869629,169.3200724,21.79073942,0.067316542,0.092229522,-0.013573397
3354575617015550,12.12895078,136.5870244,160.0723518,21.06300165,0.085787692,0.129274808,-0.01287064
3354919213994240,10.20055809,155.3764352,181.4740899,23.75391115,0.013973966,0.062403411,0.01855219
3358080309923580,12.25917489,143.9401281,168.1052507,22.13392293,-0.047587248,-0.051048639,-0.044657853
3360691650041720,10.85235986,180.813863,208.709945,26.98794532,-0.060116391,-0.047802751,-0.040184376
3360863448733310,10.10108808,133.0987101,153.6267146,19.95763566,0.027435988,-0.001456257,-0.019316589
3383953193218560,9.710360175,198.2988759,207.702629,18.90587989,-0.054422434,-0.05172159,-0.004390897
3389691269233020,11.86363494,381.6669015,405.3630018,38.04778553,0.083089767,0.071449465,0.006799442
3390206665308670,11.9283391,267.8242446,283.4146723,26.51333408,-0.043290081,-0.067430859,-0.035061444
3397800167779960,11.39711427,497.0872481,520.3182725,48.25584053,-0.055117808,-0.020706627,-0.042356463
3404775194667130,11.90817774,336.1427332,353.8993687,33.71114977,0.000436687,0.039016781,-0.017634838
3408211168211200,9.982895918,221.2814424,232.9727079,22.79470017,0.105299602,0.083913212,-0.019110893
3409585558038140,9.745125645,83.23738416,87.01576578,8.414246192,0.13771942,0.125775692,0.001720315
3411715861523710,10.56409793,972.840049,1022.859561,101.6979521,-0.094087086,-0.110666143,0.013880108
3417660096263290,10.89128017,118.07496,125.0683914,12.0454715,-0.073307512,-0.112493581,-0.017421584
3434358929106560,9.370975291,223.8280684,237.3510132,23.93687359,0.062064941,0.098311928,0.059892426
3441471394947580,11.53853448,165.1315809,176.1687459,17.99419504,0.134889479,0.151671476,-0.003588641
3441608833900280,11.80717769,280.1466311,299.0365272,30.69535076,0.093723938,0.050829316,-0.009312473
3458651264424830,11.92148686,6164.090515,6440.675059,644.4066767,0.105887587,-0.02151941,-0.352291345
3472085922435450,11.2435093,189.9211092,195.0500564,20.12634717,-0.074307149,-0.064860668,0.022147007
3490571461071870,11.3813163,298.9754913,314.8021945,33.44001086,-0.089039724,-0.061415258,-0.042294923
